trial,scenario_index,scenario_name,planner_id,obstacle_x,obstacle_y,obstacle_z,obstacle_size_x,obstacle_size_y,obstacle_size_z,final_state,pipeline_state,initial_x,initial_y,initial_z,max_z,final_x,final_y,final_z,lift_delta_m,place_error_m,final_tilt_deg,direct_path_fraction,direct_path_unchecked_fraction,direct_path_blocked,ompl_planning_time_s,ompl_joint_path_length_rad,elapsed_s,failure_category,reason
30,30,negative_y_barrier,RRTConnectkConfigDefault,0.37,-0.08,0.17,0.12,0.2,0.34,SUCCESS,SUCCESS,0.54,0.1,0.7599922905891091,1.0501135896667952,0.5039781253515774,-0.2982492052421172,0.7599999504715436,0.29012129907768613,0.004346350607066305,4.700409694602584e-05,0.35555555555555557,1.0,True,0.051477057,9.990675456446077,76.76514332499937,,physical lift and upright placement verified
31,1,center_tall_barrier,PRMkConfigDefault,0.37,0.0,0.18,0.12,0.18,0.36,SUCCESS,SUCCESS,0.55,2.0007447406531074e-20,0.7599922905891091,1.1386755122842127,0.4982939374320851,-0.29811769539481203,0.7599999115544042,0.3786832216951036,0.002540417312209701,9.343654473121885e-05,0.3111111111111111,1.0,True,0.048411709,8.398062118669094,69.57341830299993,,physical lift and upright placement verified
32,2,positive_y_barrier,PRMkConfigDefault,0.37,0.08,0.17,0.12,0.2,0.34,SUCCESS,SUCCESS,0.54,-0.1,0.7599922905891091,0.8985124389472687,0.49958814515881345,-0.2995924662222892,0.7599999452006262,0.13852014835815962,0.0005794033078840756,9.572550327940458e-05,0.35555555555555557,1.0,True,0.057912714000000004,8.532047214779178,65.98489703400082,,physical lift and upright placement verified
33,3,negative_y_barrier,PRMkConfigDefault,0.37,-0.08,0.17,0.12,0.2,0.34,SUCCESS,SUCCESS,0.54,0.1,0.7599922905891091,1.1835391864964702,0.4983519359804039,-0.28414459635567696,0.7599999430216458,0.42354689590736105,0.015940826193781357,0.00010430374814732978,0.35555555555555557,1.0,True,0.046192437,7.318458980619409,68.66681306600003,,physical lift and upright placement verified
34,4,center_tall_barrier,PRMkConfigDefault,0.37,0.0,0.18,0.12,0.18,0.36,SUCCESS,SUCCESS,0.55,2.0007447406531074e-20,0.7599922905891091,1.2842638285040695,0.49783528098450514,-0.28731012046616905,0.759999924603186,0.5242715379149604,0.01287319117409786,0.0001115572154216257,0.3111111111111111,1.0,True,0.037455346,8.273596608055442,69.4248080489997,,physical lift and upright placement verified
35,5,positive_y_barrier,PRMkConfigDefault,0.37,0.08,0.17,0.12,0.2,0.34,SUCCESS,SUCCESS,0.54,-0.1,0.7599922905891091,0.8928214337097119,0.5009786800951652,-0.3008968275638918,0.7599999302137315,0.1328291431206028,0.0013274465762880422,9.494177922860575e-05,0.35555555555555557,1.0,True,0.046269949000000005,8.707441581447592,63.37241671999982,,physical lift and upright placement verified
36,6,negative_y_barrier,PRMkConfigDefault,0.37,-0.08,0.17,0.12,0.2,0.34,SUCCESS,SUCCESS,0.54,0.1,0.7599922905891091,1.2926843519049913,0.498974653416363,-0.2989749977720339,0.7599998812992079,0.5326920613158822,0.0014498155737890973,9.480348086061021e-05,0.35555555555555557,1.0,True,0.044378994000000005,7.773066305350548,66.85140874399985,,physical lift and upright placement verified
37,7,center_tall_barrier,PRMkConfigDefault,0.37,0.0,0.18,0.12,0.18,0.36,SUCCESS,SUCCESS,0.55,2.0007447406531074e-20,0.7599922905891091,1.225062352398071,0.49989414634050017,-0.2998718763070618,0.7599999851345619,0.46507006180896193,0.00016619469950213985,1.2948118433879161e-05,0.3111111111111111,1.0,True,0.028789816000000003,8.074806631160046,70.46617642399906,,physical lift and upright placement verified
38,8,positive_y_barrier,PRMkConfigDefault,0.37,0.08,0.17,0.12,0.2,0.34,SUCCESS,SUCCESS,0.54,-0.1,0.7599922905891091,0.8925595662894987,0.4994442995474132,-0.2995279261193982,0.7599999028428079,0.13256727570038962,0.000729147962481626,9.995716993211659e-05,0.35555555555555557,1.0,True,0.036636121,6.244267711701743,53.58294797000053,,physical lift and upright placement verified
39,9,negative_y_barrier,PRMkConfigDefault,0.37,-0.08,0.17,0.12,0.2,0.34,SUCCESS,SUCCESS,0.54,0.1,0.7599922905891091,1.1756405230416385,0.4992227687729439,-0.3088945495040904,0.7599999808637613,0.41564823245252935,0.008928443272003931,1.0866764427531615e-05,0.35555555555555557,1.0,True,0.038137189,8.06974681643391,67.55430070900002,,physical lift and upright placement verified
